"session_id","trinary_A","trinary_B","trinary_C","trinary_AB","trinary_BC","binary_statepop1","binary_statearea1","binary_gdp1","binary_statepop2","binary_statearea2","binary_gdp2","time1","time2","time3","time4","time5","time6","space1","space2","space3","space4","space5","space6","confidence_interval1","confidence_interval2","confidence_interval3","tri1_abc","tri1_ab","tri1_bc","bin1","bin2","bin3","t1","t2","s1","s2","ci1","score_mean"
"U01VwYFMKyf7sMidmvySiMKRqs",0.35,0.41,1,0.36,1,0.8,0.59,0.9,0.2,0.29,0.1,0.3,0.39,0.5,0.35,0.54,0.64,0.9,0.98,1,0.4,0.63,0.91,0.59,0.38,0.26,0.62,0.6,0.59,1,0.88,1,1,1,1,1,0,0.79
"u0fhuhsiyEmaQ8U7EgdRotVzJG",0.95,1,1,1,1,0.8,1,1,0.18,0,0,0.05,0.16,0.19,0.04,0.14,0.24,0.69,1,1,0.49,0.49,0.69,0.79,0.86,0.94,0.025,0.05,0,0.98,1,1,1,1,0.908248290463863,0.908248290463863,1,0.715590598266157
"U4DToR3M4PbZC6QZUo6rd8JyJi",0,0.19,0.8,0.2,0.89,0.59,0.69,0,0,0,0,0.19,0.2,0.42,0.28,0.4,0.52,0.39,0.35,0.39,0.51,0.51,0.51,0.53,0.69,0.9,0.995,0.99,0.9,0.59,0.69,0,1,1,0.5,0.5,1,0.742272727272727
"u9BmqykA9iFEPtuCYacSMhDx2A",1,0.39,0.69,0.19,0.8,1,1,0.5,0,0,0.4,0.29,0.5,0.79,0.3,0.5,0.89,0.7,0.8,0.95,0.4,0.5,0.59,1,1,1,0.46,-0.2,0.72,1,1,0.9,1,1,1,1,0.5,0.761818181818182
"uAf5MuGtbUE8ShQWmhLIEEPOMj",0.95,1,0.99,1,1,1,0.81,0.51,0.22,0.22,0.75,0.21,0.23,0.31,0.31,0.31,0.33,0.51,0.61,0.8,0.4,0.5,0.92,0.8,0.71,0.41,0.03,0.05,0.01,0.78,0.97,0.74,1,0.908248290463863,1,1,0,0.589840753678533
"ubI0Oz7r0UkMLVSMAzvdsozMIp",0.21,0.22,0.74,0.24,0.84,0.82,0.81,0.8,0.31,0.26,0.27,0.76,0.81,0.84,0.63,0.65,0.67,0.56,0.56,0.56,0.86,0.87,0.87,0.18,0.3,0.27,0.915,0.81,0.88,0.87,0.93,0.93,1,1,0.5,0.908248290463863,0.666666666666667,0.855446814284594
"UceJjd9sha9FnsiZIxSTw6rEgK",0.29,0.34,0.39,0.36,0.29,0.6,0.7,0.9,0.6,0.3,0.1,0.05,0.1,0.14,0.1,0.15,0.2,0.2,0.2,1,0.1,0.9,0.95,0.85,0.9,0.95,0.99,0.73,0.56,0.8,1,1,1,1,0.908248290463863,1,1,0.908022571860351
"ucIufk182sxbssb47WUmTkfd9L",0.21,0.4,0.5,0.3,0.79,0.59,0.9,0.89,0.2,0.21,0.2,0.59,0.7,0.8,0.8,0.85,0.95,0.69,0.88,0.95,0.7,0.73,0.89,0.79,0.83,0.92,0.945,0.69,0.89,0.79,0.89,0.91,1,1,1,1,1,0.919545454545455
"uCvE7YBiIy81foCa38i6v1VTwe",0.19,0.3,0.69,0.29,0.8,0.8,0.6,0.7,0.3,0.38,0.39,0.19,0.29,0.4,0.7,0.8,0.9,0.85,0.94,0.98,0.09,0.15,0.3,0.4,0.47,0.55,0.91,0.8,0.81,0.9,0.98,0.91,1,1,1,1,1,0.937272727272727
"UD3Q80B8J8A0C4ahyDMDXTSP0U",0.49,0.5,0,1,0.49,0.29,0.69,0.49,0.09,0.5,0.69,0.09,0.09,0.09,0.09,0.1,0.1,0.9,0.9,1,0.7,0.7,0.7,0.49,0.49,0.49,0.995,0.99,0.99,0.38,0.81,0.82,0.5,0.908248290463863,0.908248290463863,0.5,0.5,0.754681507357066
"UG0eaLaRoJSHEqHDTw4v3ka9uf",0,0,1,0,1,1,0.49,0.7,0,0.5,0.3,0.5,0.8,0.8,0.09,0.16,0.25,1,0.98,1,0.7,0.5,1,1,1,1,1,1,1,1,0.99,1,0.908248290463863,1,0.5,0.666666666666667,0.5,0.869537723375503
"ugQaaVZVhmn2L4xMtcfwNVuMaO",0.09,0.2,0.6,0.4,0.9,0.89,0.1,0.7,0.09,0.9,0.2,0.24,0.34,0.44,0.24,0.33,0.45,0.98,1,1,0.25,0.37,0.75,0.69,0.76,0.88,0.945,0.89,0.9,0.98,1,0.9,1,1,0.908248290463863,1,1,0.956658935496715
"uGYZ4n3NOSRbUe4P1Ue3703xQ4",0.18,0.52,0.52,0.5,0.5,0.9,0.9,0.81,0.01,0.12,0.19,0.51,0.59,0.57,0.01,0.02,0.03,0.09,0.92,1,0.79,0.83,0.65,0.48,0.71,0.42,0.89,0.8,0.46,0.91,0.98,1,0.666666666666667,1,1,0.333333333333333,0.333333333333333,0.761212121212121
"UhSZPqfZJcJqIP1PdO5IOJR24M",0.19,0.49,0.29,0.7,0.8,0.72,0.81,0.92,0.24,0.15,0.08,0.19,0.48,0.66,0.1,0.27,0.45,0.49,0.8,0.94,0.4,0.65,0.94,0.6,0.74,0.87,0.985,0.98,0.98,0.96,0.96,1,1,1,1,1,1,0.987727272727273
"uKqnp6bcQilAddLo4itTA4MMLu",0.3,0.49,0.7,0.39,0.61,1,0.2,0.71,0,0.61,0.19,0.2,0.1,0.39,0.29,0.5,0.7,0.7,0.79,1,0.5,0.2,0.2,0.6,0.5,0.4,0.755,0.6,0.42,1,0.81,0.9,0.666666666666667,1,1,0.0917517095361369,0,0.6584925796548
