"session_id","session_restart_id","time_elapsed","trial_index","custom_timer_ended_trial","rt","crt_1","crt_2","crt_3","crt_4","crt_5","crt_6","crt_7","crt_correct_1","crt_correct_2","crt_correct_3","crt_correct_4","crt_correct_5","crt_correct_6","crt_correct_7","crt_correct_mean"
"3dGG48PRaoSzdv7B0BBnXDgZoa","BKKxNAhdK7Rjbeez4JvVGQgVoJ",157707,11,FALSE,151691,"5 cents","5 minutes","47 days","4 days","29 students","20 dollars","has lost money.",1,1,1,1,1,1,1,1
"3EKGRKPQYf90bnQAU7agBn8M6V","OMvrrbdS4FB49PQkXlSNUQg7aI",3302180,563,FALSE,161637,"10 cents","20 minutes","24 days","4 days","30 students","20 dollars","is ahead of where he began.",0,0,0,1,0,1,0,0.285714285714286
"3hmTdOWzZCh1B5qhXxcsJ2qkEC","qkFP7rr6XAcwbedWXZW9ZCFXhl",1253634,366,TRUE,281007,"1 cent","100 minutes","12 days",NA,"30 students",NA,NA,0,0,0,NA,0,NA,NA,0
"3jlB3p0ZI9RXNoCUWrzQ3p1ZYc","mBCcRbZBCB1gpDXuoEzrTdBXNm",318580,11,FALSE,215793,"10 cents","20 minutes","12 days","9 days","30 students","10 dollars","is ahead of where he began.",0,0,0,0,0,0,0,0
"3jQYQ831Xlb9ParmuzyQKinSnh","sQJBHwbwwjRqJyIQlBBwd3JDd9",5645351,1236,TRUE,280999,"5 cents","100 minutes","12 days","3 days","30 students","20 dollars","is ahead of where he began.",1,0,0,0,0,1,0,0.285714285714286
"3kKYkngpDSzd8j4JO9Jcrv8k2N","8vZr9nSWdk5RWqR2M8qJYhnIHQ",3849285,290,FALSE,117450,"5 cents","5 minutes","47 days","4 days","29 students","20 dollars","has lost money.",1,1,1,1,1,1,1,1
"3LRRXv5Icbu5QeYz1MF2LKqXUh","X7tkqtyGPeROiC8yXcFdFlrfke",5826054,754,FALSE,271931,"5 cents","5 minutes","47 days","9 days","29 students","10 dollars","has lost money.",1,1,1,0,1,0,1,0.714285714285714
"3lvwGLVQnnbJ8hO61nAT5y6qdy","rHTreMZXQH4oUVwwC4JcgWsu08",1977978,246,FALSE,140743,"10 cents","100 minutes","24 days","9 days","1 student","20 dollars","it cannot be determined.",0,0,0,0,0,1,0,0.142857142857143
"3p5indUn2ROHlINByZpdCvv22L","FrdINzQ9k2SDDPIJKcpajgJ0hB",5402896,469,FALSE,146128,"10 cents","100 minutes","24 days","9 days","30 students","20 dollars","is ahead of where he began.",0,0,0,0,0,1,0,0.142857142857143
"3rwyyQZIJVhQ382E1GzjzsCH02","JL9dwYwhx9pTtG4W6KiHJnWIXH",1382758,708,FALSE,54127,"5 cents","5 minutes","47 days","4 days","29 students","20 dollars","has lost money.",1,1,1,1,1,1,1,1
